Cat…leg prestacions ortoprotŠtiques - Novembre 2025;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Grup - codi;Grup - descripci¢;Subgrup - codi;Subgrup - descripci¢;Categoria - codi;Categoria aparell;Tipus de producte - codi;Tipus de producte ;Import m…xim de facturaci¢ (?);Aportaci¢ usuari/a (?);Aportaci¢ CatSalut (?);·mbit de prescripci¢ de l'aparell;Indicador informe cl¡nic;Classificaci¢ de l'aparell;Edat m¡nima;Edat m…xima;Indicador de bilateralitat;Indicador validaci¢ sanit…ria;Periodicitat prescripci¢ (mesos)
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 000;Suport de coll per a limfedema;EPL 000A;Suport de coll per a limfedema, a mida;132,41;30;102,41;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 010;M…scara per a limfedema;EPL 010A;M…scara oberta per a limfedema, a mida;313,98;30;283,98;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 010;M…scara per a limfedema;EPL 010B;M…scara oberta amb banda labial per a limfedema, a mida;334,36;30;304,36;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 010;M…scara per a limfedema;EPL 010C;M…scara amb obertura per a ulls, nas i boca per a limfedema, a mida;421,27;30;391,27;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 020;Samarreta per a limfedema;EPL 020A;Samarreta sense m…nigues per a limfedema de tronc, a mida;278,93;30;248,93;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 020;Samarreta per a limfedema;EPL 020B;Samarreta amb m…nigues llargues per a limfedema de tronc, a mida;469,49;30;439,49;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 030;Suport de mama per a afectaci¢ limf…tica;EPL 030A;Suport de mama per a afectaci¢ limf…tica, prefabricat;140;30;110;H;N;A;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 040;Guantellet i guant per a limfedema;EPL 040A;Guantellet per a limfedema, a mida;52,53;30;22,53;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 040;Guantellet i guant per a limfedema;EPL 040B;Guantellet per a limfedema, prefabricat;31,74;30;1,74;H;N;A;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 040;Guantellet i guant per a limfedema;EPL 040C;Guant sense protecci¢ distal per a limfedema, a mida;150,07;30;120,07;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 040;Guantellet i guant per a limfedema;EPL 040D;Guant sense protecci¢ distal per a limfedema, prefabricat;125,85;30;95,85;H;N;A;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 040;Guantellet i guant per a limfedema;EPL 040E;Guant amb protecci¢ distal per a limfedema, a mida;157,61;30;127,61;H;N;M;--;--;S;N;6
0406;Productes per a la ter…pia del limfedema;040606;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a limfedemes de membres;EPL 040;Guantellet i guant per a limfedema;EPL 040F;Guant fins al colze sense protecci¢ distal per a limfedema, a mida;175,25;30;145,25;H;N;M;--;--;S;N;6
